schlcode,cohsize,classize,tipuach,grade,coh_id,num_classrooms,avgscore
51147,88,24,40,4,1462,4,47.014999
51147,88,26,40,4,1462,4,75.330002
51157,63,25,0,4,1464,3,83.764999
51157,63,24,0,4,1464,3,86.18
51163,94,33,4,4,1466,3,78.43
51163,94,30,4,4,1466,3,84.384995
51163,94,31,4,4,1466,3,79.484825
51164,111,34,13,4,1468,4,72
51164,111,34,13,4,1468,4,69.165001
51164,111,33,13,4,1468,4,73.179993
51165,50,38,20,4,1470,2,71.169998
51166,51,26,3,4,1472,2,71
51166,51,25,3,4,1472,2,75.083328
51167,65,34,10,4,1474,2,78.129997
51167,65,31,10,4,1474,2,66.485001
51172,55,28,6,4,1476,2,73.43
51172,55,27,6,4,1476,2,83.152
51178,23,23,20,4,1478,1,74
51179,36,18,5,4,1480,2,67.525002
51179,36,18,5,4,1480,2,68.552994
51186,48,24,12,4,1484,2,62.724998
51186,48,24,12,4,1484,2,76.080002
51188,55,24,6,4,1486,2,79.630005
51188,55,31,6,4,1486,2,83.240005
51189,12,12,17,4,1488,1,69.334999
51190,30,30,2,4,1490,1,76.285004
51193,18,18,27,4,1492,1,70.455002
51194,78,34,11,4,1494,3,72.679993
51194,78,32,11,4,1494,3,68.775002
51199,19,19,2,4,1496,1,80.699997
51203,58,31,35,4,1498,2,72.300003
51203,58,27,35,4,1498,2,65.695
51208,23,23,28,4,1500,1,54.895
51244,44,22,1,4,1502,2,78.550003
51244,44,22,1,4,1502,2,76.050003
51246,64,33,4,4,1504,2,76.830002
51246,64,31,4,4,1504,2,79.264999
51247,54,27,5,4,1506,2,81.369995
51247,54,27,5,4,1506,2,82.705002
51255,98,32,9,4,1508,3,64.590004
51255,98,33,9,4,1508,3,69.160004
51255,98,33,9,4,1508,3,76.415001
51256,68,35,10,4,1510,2,64.645004
51256,68,33,10,4,1510,2,66.325516
51257,120,40,20,4,1512,3,55.549999
51257,120,40,20,4,1512,3,64.110001
51257,120,40,20,4,1512,3,75.625
51259,82,26,4,4,1514,3,72.400002
51259,82,27,4,4,1514,3,79.240005
51259,82,29,4,4,1514,3,76.809998
51263,40,40,2,4,1516,1,80.660004
51266,124,30,1,4,1518,4,76.805
51266,124,33,1,4,1518,4,77.775002
51266,124,30,1,4,1518,4,71.925003
51266,124,31,1,4,1518,4,75.34816
51267,55,27,17,4,1520,2,52.98
51267,55,28,17,4,1520,2,57.160004
51269,74,37,14,4,1522,2,72.510002
51269,74,37,14,4,1522,2,73.18
51273,65,22,8,4,1524,4,68.274994
51273,65,21,8,4,1524,4,76.445
51275,87,39,8,4,1526,3,77.169998
51275,87,39,8,4,1526,3,69.480003
51276,102,32,14,4,1528,4,74.095001
