schlcode,cohsize,classize,tipuach,grade,coh_id,num_classrooms,avgscore
61335,62,32,30,4,1987,2,70.214996
61338,58,29,12,4,1989,2,61.25
61338,58,29,12,4,1989,2,67.862068
61339,67,33,36,4,1991,2,65.75
61339,67,34,36,4,1991,2,72.104996
61341,85,30,2,4,1994,3,70.875
61341,85,29,2,4,1994,3,70.665001
61341,85,28,2,4,1994,3,68.381966
61343,39,39,21,4,1996,1,72.139999
61344,32,32,4,4,1998,1,86.449997
61345,21,22,16,4,2000,1,71
61346,68,34,5,4,2002,2,76.860001
61346,68,34,5,4,2002,2,72.865005
61347,19,19,65,4,2004,1,57.400002
61348,27,27,3,4,2006,1,83.205002
61349,48,25,34,4,2008,2,59.48
61349,48,24,34,4,2008,2,52.825001
61350,28,28,20,4,2010,1,79.774994
61351,16,16,26,4,2012,1,80.529999
61359,133,35,3,4,2014,4,74.300003
61359,133,34,3,4,2014,4,73.110001
